Ime,Priljubljenost,Cena [£],Vrsta,Podjetje,Avtor,Jezik,Število vzorcev,Število strani,Raven znanja 
Gertie Cardigan,869,6.75,Cardigans,Independent Designer,Holly Woodward Designs,English,1,14,Beginner
Cluster Waves Crochet Baby Blanket in Caron One Pound - Downloadable PDF,870,0.00,Blankets,Caron,,English,1,1,Beginner
Lindisfarne Crochet Cowl,871,4.00,Accessories,Independent Designer,Marie Wallin,English,1,4,Intermediate
Baby Bib With Bobble Stitch Little Duck,872,2.22,Accessories,Independent Designer,The Baby Crow,English,1,4,Beginner
White Coast,873,3.70,Accessories,Independent Designer,Katya Novikova,English,1,,Intermediate
Knitting & Crochet Pattern for a Selection of Biscuits / Cookies - Fake Fun Food,874,2.75,Toys,Independent Designer,Bottletopboy,English,1,,Beginner
Tic tac toe Baby Birds,875,5.13,Toys,Independent Designer,Tremendu,English,1,10,Beginner
No 42 Puff Shell Matinee Coat,876,3.60,Jackets,Independent Designer,Mrs Shears,English,1,,
Teddy bear amigurumi keychain,877,2.16,Toys,Independent Designer,Danielle L Designs,English,1,8,Intermediate
Summer Mist Throw in Caron One Pound - Downloadable PDF,878,0.00,Blankets,Caron,Kim Guzman,English,1,2,Beginner
Floral Shawl in Lily Sugar 'n Cream Solids,879,0.00,Shawls,Lily Sugar 'n Cream,,English,1,,
Summer Popcorn Yoke Top,880,4.44,Tops,Independent Designer,Bonnie Bay Crochet,English,1,7,Intermediate
Four season crochet purse,881,3.70,Accessories,Independent Designer,KnitcroAddict,English,1,8,Intermediate
Saturday Slippers,882,4.44,Saturday Slippers,Independent Designer,Jess Coppom Make & Do Crew,English,1,14,Beginner
Good Vibes Blouse,883,6.04,Tops,Independent Designer,ByKaterina,English,1,18,Intermediate
Crochet Pattern Flower Pillow!,884,0.00,Homeware,Independent Designer,amigoll9,English,1,5,Beginner
Positive Potato,885,0.89,Accessories,Independent Designer,Leanna's Designs,English,1,,Beginner
Crochet Bag in Schachenmayr Catania - S9019 - Downloadable PDF,886,0.00,Crochet Bag in Schachenmayr Catania - S9019 - Downloadable PDF,Schachenmayr,,Dutch|English|French|German,1,2,
Lucky Thirteen Granny,887,2.67,Lucky Thirteen Granny,Independent Designer,Madlandia,English,1,13,Advanced
Slipped Stitch Pixie,888,3.70,Hats,Independent Designer,Fox and Folk,English,1,6,Beginner
Blossoming top,889,5.78,Tops,Independent Designer,Izabela Firlová,English,1,,Intermediate
Raffia cell phone bag,890,3.11,Accessories,Independent Designer,Anna Ushakova,English,1,16,Beginner
Mesh Market Bag,891,0.00,Accessories,Independent Designer,Tracey Todhunter,English,1,2,Beginner
Baby Hat Baby Shoes Knitting PATTERN by Elena Mitchell,892,6.40,Hats,Independent Designer,Elena Mitchell,English,1,54,Beginner
Virus Poncho,893,3.68,Ponchos,Independent Designer,Addicted 2 The Hook,English,1,,Beginner
Petals for Ava Crochet Baby Blanket Pattern,894,3.70,Homeware,Independent Designer,Poplar Pattern Company,English,1,8,Beginner
Crochet oversized boho lacy vest.,895,5.85,Cardigans,Independent Designer,ThePoshCrochet,English,1,27,Intermediate
Koala amigurumi crochet,896,0.00,Toys,Independent Designer,Lenn's Craft,English,1,,Beginner
Baby dinosaur,897,1.85,Toys,Independent Designer,Ternura Amigurumi,English,1,6,Intermediate
Floral Motif Blankets in King Cole Cherish DK - 4891 - Downloadable PDF,898,2.99,Blankets,King Cole,,English,2,4,Intermediate
Baby Romper Alice,899,2.95,Baby Romper Alice,Independent Designer,Frisian Knitting,English,1,8,Intermediate
Amigurumi Whale Shark Pattern No.32,900,4.67,Toys,Independent Designer,pawpaw,English,1,15,Intermediate
Set of 9 Bag Patterns,901,19.39,Accessories,Independent Designer,isWoolish,English,1,,Beginner
Clean Cloths in Yarn and Colors Epic - YAC100050 - Downloadable PDF,902,4.00,Dishcloths,Yarn and Colors,Yarn and Colors,Dutch|English|German,1,12,Beginner
Brian the Penguin,903,0.00,Toys,Independent Designer,Lex in Stitches,English,1,9,Beginner
Jean Cardigan,904,3.00,Sweaters,Independent Designer,MillieRoseUK,English,1,3,Intermediate
'Paris' Crochet Cardigan Pattern for Baby or Child,905,2.49,Cardigans,Independent Designer,UK Craft Store,English,1,4,Intermediate
Butterfree Amigurumi Pattern,906,0.00,Toys,Independent Designer,erinmaycrochet,English,1,15,Intermediate
9 x Pokemon Balls Crochet Pattern,907,3.80,Toys,Independent Designer,Kristine Kuluka,English,1,23,Intermediate
Baby Sheep Jacket and Hat,908,5.00,Hats,Independent Designer,iKnitDesigns,English,1,,Intermediate
Flat Toys in Patons Fab DK - PBN0000-05365 - Downloadable PDF,909,0.00,Toys,Patons,Patons,English,5,8,Beginner
French Bulldog,910,4.07,Toys,Independent Designer,Tumannart,English,1,10,Intermediate
Audrey Crochet Dress,911,2.74,Dresses,Independent Designer,For The Frills | Grace,English,1,,Intermediate
Crochet flower keychain amigurumi pattern keyring Bag charm Crochet car mirror hanging,912,2.50,Amigurumi,Independent Designer,Viktoria Petakh,English,1,8,Beginner
Stardust Jumper,913,4.62,Sweaters,Independent Designer,Lena Fedotova,English,1,9,Intermediate
Vintage Style Drawstring Bag,914,0.00,Accessories,Independent Designer,Cobbler's Cabin,English,1,5,Intermediate
Ladies Crochet Top in Schachenmayr Catania - S8075 - Downloadable PDF,915,0.00,Tops,Schachenmayr,,English|German,1,1,
Biscuits,916,0.00,Homeware,Independent Designer,Chloe Bailey,English,1,5,Beginner
Barton Bag Crochet Purse Pattern,917,3.11,Accessories,Independent Designer,Busted Hook,English,1,,Intermediate
FERRARA Bag,918,3.02,Accessories,Independent Designer,isWoolish,English,1,,Beginner
In the hood Hooded granny jacket,919,5.50,Cardigans,Independent Designer,The Missing Yarn - Cassie Ward,English,1,6,Intermediate
Bluebell Dress,920,4.05,Dresses,Independent Designer,Mon Petit Violon,English,1,4,Intermediate
Rosella Top down sweater,921,1.11,Sweaters,Independent Designer,AlenaCharity Limbithu,English,1,6,Beginner
Simple Seed Stitch Scarf,922,4.44,Accessories,Independent Designer,Kirsten Holloway,English,1,,Beginner
"Sonic, the hedgehog amigurumi pattern",923,5.18,Toys,Independent Designer,Danielle Magalhães,English,1,29,Intermediate
Basketweave Boxed Cardigan in Tunisian (Afghan) Crochet,924,3.70,Cardigans,Independent Designer,Kathy Kemp,English,1,8,Intermediate
Santa's boots,925,1.93,Santa's boots,Independent Designer,Natalia,English,1,7,Intermediate
Baby's First Cardigan in Bernat Baby Sport Ombres - Downloadable PDF,926,0.00,Cardigans,Bernat,,English,1,2,Beginner
Little Rainbow Fish,927,0.00,Toys,Independent Designer,Darlene MacDonald,English,1,,Beginner
"Easter Bunny Egg crochet pattern,  amigurumi PDF",928,1.85,Amigurumi,Independent Designer,LoveyCrochetPatterns,English,1,5,Intermediate
Iris Cardigan in Adriafil Cheope - Downloadable PDF,929,0.00,Cardigans,Adriafil,,English,1,1,
Pickaxe,930,4.74,Toys,Independent Designer,Galina Litvinova,English,1,10,Beginner
Dalek Amigurumi,931,3.00,Toys,Independent Designer,Lucy Collin,English,1,11,Intermediate
Pink Mandala,932,2.80,Homeware,Independent Designer,Aletta Boleyn,English,1,6,Beginner
Ladies Cosy Cottage Cardigan,933,4.80,Cardigans,Independent Designer,BabyCrochetDesigns,English,1,29,Intermediate
Top Nativo,934,5.78,Tops,Independent Designer,Stephanie Tejidos,English|Spanish,1,28,Intermediate
Drapey Crochet Vest in Caron Simply Soft Collection - Downloadable PDF,935,0.00,Waistcoats,Caron,Lorna Miser,English,1,3,Intermediate
Playful Posy Blanket and Cushion in Stylecraft Special Aran - 9771 - Downloadable PDF,936,2.79,Blankets,Stylecraft,,English,2,6,Intermediate
Rag doll cat,937,3.45,Toys,Independent Designer,lilleliis,English,1,12,Intermediate
Sweet Warm and Cosy Blanket,938,3.99,Homeware,Independent Designer,Sweetpeafamily,English,1,5,Intermediate
Calico Cat Amigurumi,939,4.31,Toys,Independent Designer,Firefly Crochet,English,1,18,Intermediate
Passion Petal Tote - Free Bag Crochet Pattern For Women in Paintbox Yarns Cotton Aran,940,0.00,Passion Petal Tote - Free Bag Crochet Pattern For Women in Paintbox Yarns Cotton Aran,Paintbox Yarns,Katie Jones,English,1,7,Intermediate
Lark wings shawl,941,6.90,Accessories,Independent Designer,Andrea Crețu,English,1,77,Intermediate
1-3 months- NEO Crochet Baby SET,942,6.03,1-3 months- NEO Crochet Baby SET,Independent Designer,Creativa Atelier,English,1,11,Intermediate
Percy The Elephant,943,0.00,Toys,Independent Designer,Irene Strange,English,1,2,Intermediate
Daisy The Chick - Free Toy Crochet Pattern For Kids in Paintbox Yarns Cotton Aran by Paintbox Yarns,944,0.00,Toys,Paintbox Yarns,,English,,4,Intermediate
Star Rocker – Crochet Doll Pattern + Printable Accessories (Fanart Inspired),945,8.89,Toys,Independent Designer,Danielle Magalhães,English,1,22,Advanced
Surfer Boy & Girl Crochet Apllique,946,2.16,Accessories,Independent Designer,Homeartist,English,1,,Beginner
Billy (Ghostface),947,3.70,Toys,Independent Designer,TexasStitchChicks,English,,,Intermediate
Unadilla in Berroco - Downloadable PDF,948,7.00,Cardigans,Berroco,Berroco Design Team,English,1,5,Intermediate
Amigurumi jungle of dream - tree bed & play area,949,6.66,Toys,Independent Designer,Reham Youssef,English,1,13,Intermediate
Granny Square in Red Heart Soft - LW4132EN-11 - Downloadable PDF,950,0.00,Granny squares,Red Heart,Katherine Eng,English,1,2,Beginner
Bruce the bagpipe player,951,5.00,Toys,Independent Designer,Laura Wilson,English,1,12,Intermediate
Nothing but Houndstooth mosaic,952,4.07,Homeware,Independent Designer,Claire Musson,English,1,18,Intermediate
Lars Seal in Schachenmayr Luxury Velvet - S10834 - Downloadable PDF,953,0.00,Toys,Schachenmayr,Denise Karg alias Fräulein Wollwunde,Dutch|English|French,1,5,Beginner
Lacy Summer Top,954,3.70,Tops,Independent Designer,Toyslab Creations,English,1,16,Beginner
Jumping Beans Blanket,955,5.92,Homeware,Independent Designer,Kirsten Holloway,English,1,16,Advanced
Neapolitan Dream Cardy,956,5.96,Cardigans,Independent Designer,FuglyLove Creations,English,1,4,Intermediate
Pebbled Texture Crochet Hat in Caron One Pound - Downloadable PDF,957,0.00,Hats,Caron,,English,1,2,Beginner
Baby Crochet Cardigan 5078,958,2.50,Cardigans,Independent Designer,Jenny Watson Designs,English,1,4,Intermediate
"Crochet Pattern Baby Cardigan, Hat & Booties",959,1.19,Cardigans,Independent Designer,TatjanaBoutique,English,1,10,Intermediate
Sophie's Cardigan,960,3.79,Cardigans,Independent Designer,Mon Petit Violon,English,1,3,Intermediate
Grimm the Ghost,961,0.00,Toys,Independent Designer,Megan Barclay,English,1,7,Intermediate
Desert Cover Up Top,962,4.07,Tops,Independent Designer,Natalia Kononova,English,1,21,Advanced
Mama Jill and Little Joey Kangaroo,963,4.44,Toys,Independent Designer,Hello Yellow Yarn,English,1,18,Intermediate
Blankets Crocheted in King Cole Comfort DK - 5564 - Downloadable PDF,964,2.99,Blankets,King Cole,King Cole,English,4,4,Intermediate
Lion baby rattle amigurumi,965,2.59,Toys,Independent Designer,Anna Ushakova,English,1,13,Intermediate
Christmas Crochet: Tea Towel Topper,966,2.63,Homeware,Independent Designer,BlueBuggs,English,1,6,Beginner
Ruby the Red Eyed Tree frog,967,5.18,Toys,Independent Designer,Critter-iffic Crochet,English,1,,Intermediate
Caterpillar,968,0.00,Toys,Independent Designer,Sarah Quillen,English,1,,Beginner
RombusTop,969,2.59,Tops,Independent Designer,agodipinocrochet,English,1,7,Beginner
Squid Game Doll,970,3.70,Toys,Independent Designer,Amy Design Crochet,English,1,12,Intermediate
Sassy the Kitty Cat Heart Rug,971,5.92,Homeware,Independent Designer,Ira Rott,English,1,24,Advanced
Vortex Afghan & Pillows in Caron Simply Soft and Simply Soft Collection - Downloadable PDF,972,0.00,Cushions,Caron,Lisa Gentry,English,3,5,Intermediate
Willow Granny square,973,1.48,Willow Granny square,Independent Designer,Lyubov Shakhimardanova,English,1,6,Beginner
Easy Crocheted Tea Cozy,974,2.95,Homeware,Independent Designer,Edie Eckman,English,1,,Beginner
Mini Turtle (no sew),975,1.47,Toys,Independent Designer,Nanari Crochet,English,1,,Beginner
Women's Top in Sirdar Cotton 4 Ply - 7305 - Downloadable PDF,976,3.85,Tops,Sirdar,,English,1,4,
Boulevard Blossoms Co-ord in Sirdar Stories DK - Downloadable PDF,977,3.95,Tops,Sirdar,,English,2,8,Intermediate
Zig Zag Blanket,978,0.00,Homeware,Independent Designer,Sweet Crocheterie,English,1,,Beginner
Woodland hats,979,4.44,Accessories,Independent Designer,CROCHETMILIE,English,1,,Beginner
Rainbow Through the Storm Crochet Blanket,980,2.30,Homeware,Independent Designer,Melly.Elly.Crochet,English,1,11,Intermediate
Water Lily Granny Square,981,0.00,Water Lily Granny Square,Independent Designer,madebylisek,English,1,,Intermediate
Knitting Pattern Baby Cardigan Crochet Pattern Baby Dress,982,6.40,Dresses,Independent Designer,,English,1,122,Beginner
The Cocoon Cardigan,983,5.55,Sweaters,Independent Designer,Jess Coppom Make & Do Crew,English,1,11,Intermediate
Amigurumi Techniques by Crossmanknits,984,0.00,Amigurumi,Independent Designer,Crossmanknits,English,1,12,Beginner
BERTRAND Bag,985,1.81,Accessories,Independent Designer,Paula_m,English|German,1,14,Intermediate
Liam the Lamb Sheep Crochet Amigurumi,986,3.45,Toys,Independent Designer,Sara Barbosa,English,1,6,Intermediate
Cuddle and Play Sheep Blanket,987,4.95,Homeware,Independent Designer,Crochet Arcade,English,1,,Beginner
Growlithe & Arcanine,988,5.92,Toys,Independent Designer,VinCrafty,English,1,23,Intermediate
Amigurumi Frog,989,3.88,Toys,Independent Designer,Mevlinn Gusick,English,1,5,Intermediate
Green Tractor Crochet Pattern,990,3.90,Toys,Independent Designer,Kristine Kuluka,English,1,12,Intermediate
Mikeisha's Crochet Baby Blanket,991,2.96,Homeware,Independent Designer,Ouma Ralie,English,1,,Intermediate
Mini Cherry Bakewell,992,0.00,Homeware,Independent Designer,Chloe Bailey,English,1,3,Beginner
I Heart Butterflies Crochet Afghan Square,993,2.22,I Heart Butterflies Crochet Afghan Square,Independent Designer,Mamta Motiyani,English,1,17,Beginner
Ladies Socks,994,4.07,Socks,Independent Designer,Petals to Picots,English,1,7,Advanced
Cushion in Yarn and Colors Fabulous - YAC100051 - Downloadable PDF,995,4.00,Cushions,Yarn and Colors,Yarn and Colors,Dutch|English|German,1,12,Beginner
Cherry Blossom Cardy,996,7.20,Cardigans,Independent Designer,CosyCatKnits,English,1,,Intermediate
For the Frill of it Booties - Free Crochet Pattern For Babies in Paintbox Yarns Baby DK Prints by Paintbox Yarns,997,0.00,Booties,Paintbox Yarns,,English,1,5,Intermediate
Starry Sky Top,998,5.55,Tops,Independent Designer,Crochet With Cookie,English,1,20,Beginner
Bell Sleeve Belinda Top,999,2.96,Sweaters,Independent Designer,ChristaCoDesign,English,1,10,Beginner
Aydaline Dress,1000,2.00,Dresses,Independent Designer,Sam Hermes,English,1,8,Intermediate
Mini Skirt Summer Cover Up,1001,2.04,Mini Skirt Summer Cover Up,Independent Designer,Chezpascale,English,1,3,Beginner
425 Cosmos Toe-Up Crocheted Socks - Crochet Pattern for Women in Valley Yarns Huntington,1002,3.50,Socks,Valley Yarns,Sara Delaney,English,1,2,Intermediate
Toby,1003,4.98,Accessories,Independent Designer,Berniolie,English,1,3,Intermediate
40th Anniversary 01 Cousteau Shawl - Crochet Pattern for Women in Valley Yarns Valley Superwash DK,1004,3.50,Shawls,Valley Yarns,Doris Chan,English,,4,Advanced Beginner
All Seasons loop scarf,1005,5.11,Accessories,Independent Designer,Ana D,English,1,4,Beginner
All's Square In Love & Totes in Sirdar Stories - 10836P - Leaflet,1006,3.69,All's Square In Love & Totes in Sirdar Stories - 10836P - Leaflet,Sirdar,,English,1,8,Beginner
August Daze Blanket,1007,5.00,Homeware,Independent Designer,Little Duck Crochet,English,1,,Intermediate
Barbie of Swan Lake Doll,1008,6.21,Toys,Independent Designer,Co Tam Crafts,English,1,,Intermediate
Blended Lines Scarf,1009,2.41,Accessories,Independent Designer,Shewgirl's Crochet Creations,English,1,,Beginner
Blue and Orange Dogs Scarf C2C,1010,8.14,Accessories,Independent Designer,Sheila Browning,English,1,,Advanced
Blue Dog Scarf C2C,1011,4.43,Accessories,Independent Designer,Sheila Browning,English,1,5,Advanced
Brick Mesh Crochet Jumper,1012,4.80,Jumpers,Independent Designer,Joanne Johncey,English,1,3,Beginner
Britt-Marie Flared Top - Top Crochet Pattern For Women in MillaMia Naturally Soft Aran,1013,3.90,Tops,MillaMia,,English,1,6,Intermediate
Brooklyn Cat Beanie,1014,4.07,Accessories,Independent Designer,DeniMade,English,1,,Beginner
Bubble fish Hair Clip,1015,2.96,Headbands,Independent Designer,Yarnproductsua,English,1,5,Beginner
Cocktail Hour Crochet Dress in Sirdar Stories - 10828P - Leaflet,1016,3.69,Dresses,Sirdar,,English,1,8,Intermediate
Colour Pop Crochet Tote in Sirdar Stories - 10837P - Leaflet,1017,3.69,Colour Pop Crochet Tote in Sirdar Stories - 10837P - Leaflet,Sirdar,,English,1,8,Beginner
Corset blouse Ágape,1018,6.05,Tops,Independent Designer,Light e salt crochet,English,1,11,Intermediate
Counting Sheep Winter Hat,1019,5.39,Hats,Independent Designer,Gabrielle Vansteelandt,English,1,7,Intermediate
Cozy morning sweater,1020,5.18,Jumpers,Independent Designer,Ana D,English,1,7,Intermediate
Crochet Axolotols in King Cole Yummy - P9197 - Leaflet,1021,2.99,Crochet Axolotols in King Cole Yummy - P9197 - Leaflet,King Cole,,English,1,4,Intermediate
Cross,1022,3.70,Accessories,Independent Designer,Yarnproductsua,English,1,8,Intermediate
Desert Ruby Scarf,1023,4.25,Accessories,Independent Designer,SkeinsandMagic,English,1,5,Intermediate
Doggo no 19 sweater,1024,5.19,Doggo no 19 sweater,Independent Designer,Muki Crafts,English,1,,Intermediate
"Free Crochet Pattern Bunny, Free Bunny Crochet Pattern, Free Crochet Bunny Pattern",1025,0.00,Toys,Independent Designer,Kathy Leung,English,1,7,Beginner
Granny stripes shawl,1026,4.59,Accessories,Independent Designer,Ana D,English,1,5,Beginner
